mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0.16666666666666666	0	0	2/4	3	1	1/24		1/16	2/3		0	60	C4	4	4
1	1	0	0.5	0	0	2/4	2	1	1/8		1/8	1		0	84	C6	6	0
1	1	1/6	0.16666666666666666	1/24	1/24	2/4	3	1	1/24		1/16	2/3		-3	63	Eb4	4	5
1	1	1/3	0.16666666666666666	1/12	1/12	2/4	3	1	1/24		1/16	2/3		1	67	G4	4	6
1	1	1/2	0.16666666666666666	1/8	1/8	2/4	3	1	1/24		1/16	2/3		2	62	D4	4	7
1	1	1/2	0.5	1/8	1/8	2/4	2	1	1/8		1/8	1		5	83	B5	5	1
1	1	2/3	0.16666666666666666	1/6	1/6	2/4	3	1	1/24		1/16	2/3		-1	65	F4	4	8
1	1	5/6	0.16666666666666666	5/24	5/24	2/4	3	1	1/24		1/16	2/3		1	67	G4	4	9
1	1	1	0.16666666666666666	1/4	1/4	2/4	3	1	1/24		1/16	2/3		-3	63	Eb4	4	10
1	1	1	0.5	1/4	1/4	2/4	2	1	1/8		1/8	1		0	84	C6	6	2
1	1	7/6	0.16666666666666666	7/24	7/24	2/4	3	1	1/24		1/16	2/3		1	67	G4	4	11
1	1	4/3	0.16666666666666666	1/3	1/3	2/4	3	1	1/24		1/16	2/3		0	72	C5	5	12
1	1	3/2	0.16666666666666666	3/8	3/8	2/4	3	1	1/24		1/16	2/3		4	64	E4	4	13
1	1	3/2	0.5	3/8	3/8	2/4	2	1	1/8		1/8	1		1	79	G5	5	3
1	1	5/3	0.16666666666666666	5/12	5/12	2/4	3	1	1/24		1/16	2/3		1	67	G4	4	14
1	1	11/6	0.16666666666666666	11/24	11/24	2/4	3	1	1/24		1/16	2/3		0	72	C5	5	15
2	2	2	0.16666666666666666	0	0	2/4	3	1	1/24		1/16	2/3		-1	65	F4	4	19
2	2	2	0.5	0	0	2/4	2	1	1/8		1/8	1		-2	82	Bb5	5	16
2	2	13/6	0.16666666666666666	1/24	1/24	2/4	3	1	1/24		1/16	2/3		-4	68	Ab4	4	20
2	2	7/3	0.16666666666666666	1/12	1/12	2/4	3	1	1/24		1/16	2/3		0	72	C5	5	21
2	2	5/2	0.16666666666666666	1/8	1/8	2/4	3	1	1/24		1/16	2/3		2	62	D4	4	22
2	2	5/2	0.5	1/8	1/8	2/4	2	1	1/8		1/8	1		-4	80	Ab5	5	17
2	2	8/3	0.16666666666666666	1/6	1/6	2/4	3	1	1/24		1/16	2/3		-1	65	F4	4	23
2	2	17/6	0.16666666666666666	5/24	5/24	2/4	3	1	1/24		1/16	2/3		0	72	C5	5	24
2	2	3	0.16666666666666666	1/4	1/4	2/4	3	1	1/24		1/16	2/3		-3	63	Eb4	4	25
2	2	3	1.0	1/4	1/4	2/4	2	1	1/4		1/4	1		1	79	G5	5	18
2	2	19/6	0.16666666666666666	7/24	7/24	2/4	3	1	1/24		1/16	2/3		1	67	G4	4	26
2	2	10/3	0.16666666666666666	1/3	1/3	2/4	3	1	1/24		1/16	2/3		0	72	C5	5	27
2	2	7/2	0.16666666666666666	3/8	3/8	2/4	3	1	1/24		1/16	2/3		1	67	G4	4	28
2	2	11/3	0.16666666666666666	5/12	5/12	2/4	3	1	1/24		1/16	2/3		-3	63	Eb4	4	29
2	2	23/6	0.16666666666666666	11/24	11/24	2/4	3	1	1/24		1/16	2/3		0	60	C4	4	30
3	3	4	0.16666666666666666	0	0	2/4	3	1	1/24		1/16	2/3		-5	61	Db4	4	35
3	3	4	0.5	0	0	2/4	2	1	1/8		1/8	1		-1	77	F5	5	31
3	3	25/6	0.16666666666666666	1/24	1/24	2/4	3	1	1/24		1/16	2/3		-1	65	F4	4	36
3	3	13/3	0.16666666666666666	1/12	1/12	2/4	3	1	1/24		1/16	2/3		-4	68	Ab4	4	37
3	3	9/2	0.16666666666666666	1/8	1/8	2/4	3	1	1/24		1/16	2/3		0	60	C4	4	38
3	3	9/2	0.5	1/8	1/8	2/4	2	1	1/8		1/8	1		-4	80	Ab5	5	32
3	3	14/3	0.16666666666666666	1/6	1/6	2/4	3	1	1/24		1/16	2/3		-3	63	Eb4	4	39
3	3	29/6	0.16666666666666666	5/24	5/24	2/4	3	1	1/24		1/16	2/3		-4	68	Ab4	4	40
3	3	5	0.16666666666666666	1/4	1/4	2/4	3	1	1/24		1/16	2/3		5	59	B3	3	41
3	3	5	0.5	1/4	1/4	2/4	2	1	1/8		1/8	1		1	79	G5	5	33
3	3	31/6	0.16666666666666666	7/24	7/24	2/4	3	1	1/24		1/16	2/3		2	62	D4	4	42
3	3	16/3	0.16666666666666666	1/3	1/3	2/4	3	1	1/24		1/16	2/3		1	67	G4	4	43
3	3	11/2	0.16666666666666666	3/8	3/8	2/4	3	1	1/24		1/16	2/3		1	55	G3	3	44
3	3	11/2	0.5	3/8	3/8	2/4	2	1	1/8		1/8	1		-1	77	F5	5	34
3	3	17/3	0.16666666666666666	5/12	5/12	2/4	3	1	1/24		1/16	2/3		5	59	B3	3	45
3	3	35/6	0.16666666666666666	11/24	11/24	2/4	3	1	1/24		1/16	2/3		-1	65	F4	4	46
4	4	6	0.16666666666666666	0	0	2/4	3	1	1/24		1/16	2/3		-4	56	Ab3	3	51
4	4	6	0.5	0	0	2/4	2	1	1/8		1/8	1		-3	75	Eb5	5	47
4	4	37/6	0.16666666666666666	1/24	1/24	2/4	3	1	1/24		1/16	2/3		0	60	C4	4	52
4	4	19/3	0.16666666666666666	1/12	1/12	2/4	3	1	1/24		1/16	2/3		-3	63	Eb4	4	53
4	4	13/2	0.16666666666666666	1/8	1/8	2/4	3	1	1/24		1/16	2/3		-1	53	F3	3	54
4	4	13/2	0.5	1/8	1/8	2/4	2	1	1/8		1/8	1		-5	73	Db5	5	48
4	4	20/3	0.16666666666666666	1/6	1/6	2/4	3	1	1/24		1/16	2/3		-4	56	Ab3	3	55
4	4	41/6	0.16666666666666666	5/24	5/24	2/4	3	1	1/24		1/16	2/3		-5	61	Db4	4	56
4	4	7	0.16666666666666666	1/4	1/4	2/4	3	1	1/24		1/16	2/3		1	55	G3	3	57
4	4	7	0.5	1/4	1/4	2/4	2	1	1/8		1/8	1		0	72	C5	5	49
4	4	43/6	0.16666666666666666	7/24	7/24	2/4	3	1	1/24		1/16	2/3		0	60	C4	4	58
4	4	22/3	0.16666666666666666	1/3	1/3	2/4	3	1	1/24		1/16	2/3		-3	63	Eb4	4	59
4	4	15/2	0.16666666666666666	3/8	3/8	2/4	3	1	1/24		1/16	2/3		1	55	G3	3	60
4	4	15/2	0.5	3/8	3/8	2/4	2	1	1/8		1/8	1		5	71	B4	4	50
4	4	23/3	0.16666666666666666	5/12	5/12	2/4	3	1	1/24		1/16	2/3		2	62	D4	4	61
4	4	47/6	0.16666666666666666	11/24	11/24	2/4	3	1	1/24		1/16	2/3		-1	65	F4	4	62
5	5	8	0.16666666666666666	0	0	2/4	3	1	1/24		1/16	2/3		0	60	C4	4	68
5	5	8	0.5	0	0	2/4	3	2	1/8		1/8	1		0	60	C4	4	74
5	5	8	1.0	0	0	2/4	2	1	1/4		1/4	1		0	72	C5	5	63
5	5	49/6	0.16666666666666666	1/24	1/24	2/4	3	1	1/24		1/16	2/3		-3	63	Eb4	4	69
5	5	25/3	0.16666666666666666	1/12	1/12	2/4	3	1	1/24		1/16	2/3		1	67	G4	4	70
5	5	17/2	0.16666666666666666	1/8	1/8	2/4	3	1	1/24		1/16	2/3		-3	63	Eb4	4	71
5	5	17/2	0.5	1/8	1/8	2/4	3	2	1/8		1/8	1		-3	63	Eb4	4	75
5	5	26/3	0.16666666666666666	1/6	1/6	2/4	3	1	1/24		1/16	2/3		1	67	G4	4	72
5	5	53/6	0.16666666666666666	5/24	5/24	2/4	3	1	1/24		1/16	2/3		0	72	C5	5	73
5	5	9	0.5	1/4	1/4	2/4	3	2	1/8		1/8	1		1	67	G4	4	76
5	5	55/6	0.16666666666666666	7/24	7/24	2/4	2	1	1/24		1/16	2/3		0	72	C5	5	64
5	5	28/3	0.16666666666666666	1/3	1/3	2/4	2	1	1/24		1/16	2/3		-3	75	Eb5	5	65
5	5	19/2	0.5	3/8	3/8	2/4	3	2	1/8		1/8	1		0	72	C5	5	77
5	5	29/3	0.16666666666666666	5/12	5/12	2/4	2	1	1/24		1/16	2/3		-3	75	Eb5	5	66
5	5	59/6	0.16666666666666666	11/24	11/24	2/4	2	1	1/24		1/16	2/3		1	79	G5	5	67
6	6	10	0.5	0	0	2/4	1	1	1/8		1/8	1		0	72	C5	5	78
6	6	10	0.5	0	0	2/4	3	1	1/8		1/8	1		0	72	C5	5	90
6	6	61/6	0.16666666666666666	1/24	1/24	2/4	2	1	1/24		1/16	2/3		-3	75	Eb5	5	82
6	6	31/3	0.16666666666666666	1/12	1/12	2/4	2	1	1/24		1/16	2/3		1	79	G5	5	83
6	6	21/2	0.5	1/8	1/8	2/4	1	1	1/8		1/8	1		5	71	B4	4	79
6	6	21/2	0.5	1/8	1/8	2/4	3	1	1/8		1/8	1		5	71	B4	4	91
6	6	32/3	0.16666666666666666	1/6	1/6	2/4	2	1	1/24		1/16	2/3		2	74	D5	5	84
6	6	65/6	0.16666666666666666	5/24	5/24	2/4	2	1	1/24		1/16	2/3		1	79	G5	5	85
6	6	11	0.5	1/4	1/4	2/4	1	1	1/8		1/8	1		0	72	C5	5	80
6	6	11	0.5	1/4	1/4	2/4	3	1	1/8		1/8	1		0	72	C5	5	92
6	6	67/6	0.16666666666666666	7/24	7/24	2/4	2	1	1/24		1/16	2/3		-3	75	Eb5	5	86
6	6	34/3	0.16666666666666666	1/3	1/3	2/4	2	1	1/24		1/16	2/3		1	79	G5	5	87
6	6	23/2	0.5	3/8	3/8	2/4	1	1	1/8		1/8	1		1	67	G4	4	81
6	6	23/2	0.5	3/8	3/8	2/4	3	1	1/8		1/8	1		1	67	G4	4	93
6	6	35/3	0.16666666666666666	5/12	5/12	2/4	2	1	1/24		1/16	2/3		-3	75	Eb5	5	88
